"Unit","Time","PC","Value"
"11",6,"PC2",50.8771988638802
"11",7,"PC1",60.9355203937977
"11",7,"PC2",63.4131780196238
"11",8,"PC1",70.0955523040742
"11",8,"PC2",73.6127807828393
"11",9,"PC1",80.8150306971094
"11",9,"PC2",85.2537589469961
"11",10,"PC1",90.2687341235618
"11",10,"PC2",97.9541098074425
"11",11,"PC1",99.8451568491706
"11",11,"PC2",107.935816654046
"11",12,"PC1",110.222365227744
"11",12,"PC2",119.981929687273
"11",13,"PC1",120.541989532569
"11",13,"PC2",130.892338585151
"11",14,"PC1",132.181122357025
"11",14,"PC2",144.027206600209
"11",15,"PC1",143.803073920129
"11",15,"PC2",156.401464951747
"11",16,"PC1",154.684788298868
"11",16,"PC2",169.619693246233
"11",17,"PC1",164.921343586439
"11",17,"PC2",183.899088130491
"11",18,"PC1",174.708959079261
"11",18,"PC2",197.821334742283
"11",19,"PC1",186.169185377519
"11",19,"PC2",212.518404833697
"11",20,"PC1",197.969106362087
"11",20,"PC2",224.131862953111
"12",0,"PC1",0
"12",0,"PC2",0
"12",1,"PC1",8.10070001433659
"12",1,"PC2",8.40632860699291
"12",2,"PC1",16.9260339801065
"12",2,"PC2",19.4332012731219
"12",3,"PC1",26.5014995514441
"12",3,"PC2",33.0273843115622
"12",4,"PC1",36.3532201337003
"12",4,"PC2",46.8336944051679
"12",5,"PC1",45.7312742402866
"12",5,"PC2",60.3242383118266
"12",6,"PC1",56.4650367323933
"12",6,"PC2",74.6173335053935
"12",7,"PC1",66.8387484659272
"12",7,"PC2",88.2467688732235
"12",8,"PC1",77.4112050259004
"12",8,"PC2",104.543362597141
"12",9,"PC1",87.8603249215053
"12",9,"PC2",120.012487659119
"12",10,"PC1",98.8637134756761
"12",10,"PC2",136.196670019269
"12",11,"PC1",110.233107992512
"12",11,"PC2",152.937346749842
"12",12,"PC1",121.501693492491
"12",12,"PC2",168.835304661122
"12",13,"PC1",132.651128057189
"12",13,"PC2",187.095651360902
"12",14,"PC1",143.831708099504
"12",14,"PC2",205.604590921706
"12",15,"PC1",155.146407240016
"12",15,"PC2",223.712742934217
"12",16,"PC1",166.30048784361
"12",16,"PC2",242.512906604918
"12",17,"PC1",177.770427936123
"12",17,"PC2",260.169015060081
"12",18,"PC1",189.221073078212
"12",18,"PC2",279.468848331348
"12",19,"PC1",200.299103791481
"12",19,"PC2",297.563520355143
"12",20,"PC1",211.641906562256
"12",20,"PC2",317.239489758642
"13",0,"PC1",0
"13",0,"PC2",0
"13",1,"PC1",9.22467794279792
"13",1,"PC2",10.4210317013756
"13",2,"PC1",18.8773899677764
"13",2,"PC2",27.4901811015726
"13",3,"PC1",29.5043233320834
"13",3,"PC2",47.6316999485368
"13",4,"PC1",41.291703378664
"13",4,"PC2",69.8557042779622
"13",5,"PC1",52.7806031604844
"13",5,"PC2",92.0696143419907
"13",6,"PC1",64.6433987520552
"13",6,"PC2",112.806866006085
"13",7,"PC1",75.0176166319998
"13",7,"PC2",136.22619655996
"13",8,"PC1",87.3410971335186
"13",8,"PC2",158.276464933372
"13",9,"PC1",98.4883123512851
"13",9,"PC2",181.160737518655
"13",10,"PC1",109.467021730306
"13",10,"PC2",205.255476102541
"13",11,"PC1",121.392875230998
"13",11,"PC2",229.005575389557
"13",12,"PC1",132.144870752025
"13",12,"PC2",254.027909670729
"13",13,"PC1",144.345095658146
"13",13,"PC2",279.579881506197
"13",14,"PC1",156.911321732152
"13",14,"PC2",306.457556251591
"13",15,"PC1",171.060480409445
"13",15,"PC2",331.771117162541
"13",16,"PC1",182.734178259439
"13",16,"PC2",357.935196367517
"13",17,"PC1",195.592711658099
"13",17,"PC2",384.045349262262
"13",18,"PC1",208.612806131568
"13",18,"PC2",411.760799437303
"13",19,"PC1",219.308483296645
"13",19,"PC2",437.358793655972
"13",20,"PC1",232.915491132845
"13",20,"PC2",464.442351138077
"14",0,"PC1",0
"14",0,"PC2",0
"14",1,"PC1",9.01406590016834
"14",1,"PC2",10.2924460897763
"14",2,"PC1",16.7628385308588
"14",2,"PC2",28.830052679611
"14",3,"PC1",28.6308559515036
"14",3,"PC2",41.1645360777697
"14",4,"PC1",40.8691281013297
"14",4,"PC2",56.380627943209
"14",5,"PC1",52.3333191956599
"14",5,"PC2",72.2064672368174
"14",6,"PC1",63.5069199244766
"14",6,"PC2",90.7286389478453
"14",7,"PC1",76.1792874654483
"14",7,"PC2",107.27746913193
"14",8,"PC1",87.5356811705113
"14",8,"PC2",130.480165093425
"14",9,"PC1",99.6290080507588
"14",9,"PC2",155.739098064363
"14",10,"PC1",113.262239530666
"14",10,"PC2",176.493899208898
"14",11,"PC1",125.336241084552
"14",11,"PC2",196.44966929877
"14",12,"PC1",138.141455597417
"14",12,"PC2",219.86020224959
"14",13,"PC1",151.429157598106
"14",13,"PC2",243.652865684233
"14",14,"PC1",166.65997778294
"14",14,"PC2",266.605065212973
"14",15,"PC1",180.520424716617
"14",15,"PC2",293.078536142363
"14",16,"PC1",194.439106174277
"14",16,"PC2",311.549337515229
"14",17,"PC1",208.354660368523
"14",17,"PC2",331.991688484111
"14",18,"PC1",224.101003932716
"14",18,"PC2",355.820316678678
"14",19,"PC1",240.257888108703
"14",19,"PC2",380.036811272931
"14",20,"PC1",253.183690673093
"14",20,"PC2",399.111016218191
"15",0,"PC1",0
"15",0,"PC2",0
"15",1,"PC1",6.70469467768544
"15",1,"PC2",8.82715934030792
"15",2,"PC1",14.6142643196376
"15",2,"PC2",20.1677090972978
"15",3,"PC1",22.4662221226034
"15",3,"PC2",32.4606622034406
"15",4,"PC1",30.5635008596902
"15",4,"PC2",45.6833289455697
"15",5,"PC1",39.1509022836158
"15",5,"PC2",59.3389290430897
"15",6,"PC1",47.2479972785167
"15",6,"PC2",74.1382410740725
"15",7,"PC1",55.6185855054495
"15",7,"PC2",88.8842770340159
"15",8,"PC1",63.8577594213804
"15",8,"PC2",104.174842589272
"15",9,"PC1",72.7766811770027
"15",9,"PC2",118.952641307672
"15",10,"PC1",81.5424310165667
"15",10,"PC2",134.961311401406
"15",11,"PC1",90.548623661424
"15",11,"PC2",150.68509148762
"15",12,"PC1",99.8260426645768
"15",12,"PC2",167.688651761496
"15",13,"PC1",109.390176388491
"15",13,"PC2",184.981534220065
"15",14,"PC1",118.770963738887
"15",14,"PC2",203.758101635855
"15",15,"PC1",128.76568426997
"15",15,"PC2",221.507942767964
"15",16,"PC1",138.952420896271
"15",16,"PC2",239.538874323325
"15",17,"PC1",148.332068545095
"15",17,"PC2",257.80916342784
"15",18,"PC1",158.180999376184
"15",18,"PC2",275.800622582848
"15",19,"PC1",167.255415924958
"15",19,"PC2",294.622835568047
"15",20,"PC1",176.867373137962
"15",20,"PC2",313.224710057111
"16",0,"PC1",0
"16",0,"PC2",0
"16",1,"PC1",6.19734117711352
"16",1,"PC2",8.2745035935722
"16",2,"PC1",13.46476574468
"16",2,"PC2",21.3440672242972
"16",3,"PC1",20.8132233479473
"16",3,"PC2",32.0269192758598
"16",4,"PC1",28.4179730279807
"16",4,"PC2",41.5845515094921
"16",5,"PC1",37.4602600183682
